hc_date,day,PCA_1,PCA_2
2021-03-07 09:00:00+01:00,07/03/2021,-1.3697196408383119,-2.6939786349366095
2021-03-07 10:00:00+01:00,07/03/2021,-1.3259477201391816,-2.96464584973803
2021-03-07 11:00:00+01:00,07/03/2021,-1.2422851851528114,-2.8011343200141305
2021-03-07 12:00:00+01:00,07/03/2021,-1.2779912407273624,-2.5134561856480917
2021-03-07 13:00:00+01:00,07/03/2021,-1.4561352376606265,-2.3127112137152763
2021-03-07 14:00:00+01:00,07/03/2021,-1.7567884577520896,-2.3015585812589934
2021-03-07 15:00:00+01:00,07/03/2021,-1.646112295828349,-2.3490314776064114
2021-03-07 16:00:00+01:00,07/03/2021,-1.651957621638908,-3.0761704948836166
2021-03-07 17:00:00+01:00,07/03/2021,-1.6990180154142216,-2.915030971883666
2021-03-07 18:00:00+01:00,07/03/2021,-1.6571351490451305,-2.616849917369524
2021-03-07 19:00:00+01:00,07/03/2021,-1.88496101875872,-2.9346045132947847
2021-03-07 20:00:00+01:00,07/03/2021,-1.4473765590552852,-2.3399372380350356
2021-03-07 21:00:00+01:00,07/03/2021,-1.5102416867406145,-2.4365583554611447
2021-03-07 22:00:00+01:00,07/03/2021,-1.5734266598016136,-2.7123885998273463
2021-03-07 23:00:00+01:00,07/03/2021,-1.5960951709439282,-2.7380679145427735
2021-03-08 00:00:00+01:00,08/03/2021,-1.557684632615252,-2.741600423250925
2021-03-08 01:00:00+01:00,08/03/2021,-1.5734742737158536,-2.6532384872853068
2021-03-08 02:00:00+01:00,08/03/2021,-0.777090704155907,-3.0088761658554586
2021-03-08 03:00:00+01:00,08/03/2021,-0.20023566901840242,-3.7397105530763626
2021-03-08 04:00:00+01:00,08/03/2021,2.2884178160007576,-4.3511482928796905
2021-03-08 05:00:00+01:00,08/03/2021,3.690596328949804,-3.4112188913804293
2021-03-08 06:00:00+01:00,08/03/2021,4.218126968248153,-3.189887198568778
2021-03-08 07:00:00+01:00,08/03/2021,3.8924358155383416,-2.9957372512303464
2021-03-08 08:00:00+01:00,08/03/2021,4.9294822464072,-3.0411664171019117
2021-03-08 09:00:00+01:00,08/03/2021,5.181794764130749,-3.891794989877387
2021-03-08 10:00:00+01:00,08/03/2021,4.044724652770695,-3.171816754060238
2021-03-08 11:00:00+01:00,08/03/2021,4.207547696995415,-2.936462319074801
2021-03-08 12:00:00+01:00,08/03/2021,3.3094139040538733,-2.438850428537162
2021-03-08 13:00:00+01:00,08/03/2021,5.4704780835614555,-2.6410315671498688
2021-03-08 14:00:00+01:00,08/03/2021,1.3143549693139223,-2.3110646464459994
2021-03-08 15:00:00+01:00,08/03/2021,0.27246985188912903,-2.102197398831481
2021-03-08 16:00:00+01:00,08/03/2021,-1.4642084953777672,-1.8898687411435255
2021-03-08 17:00:00+01:00,08/03/2021,-1.4225484083880156,-1.9660375732172561
2021-03-08 18:00:00+01:00,08/03/2021,-1.4501728216450627,-2.5963433465172527
2021-03-08 19:00:00+01:00,08/03/2021,-1.6329228214100773,-3.08847370268479
2021-03-08 20:00:00+01:00,08/03/2021,-1.482747340066628,-2.6561754237203328
2021-03-08 21:00:00+01:00,08/03/2021,-1.5247045735391893,-2.633847316259239
2021-03-08 22:00:00+01:00,08/03/2021,-1.546499510321437,-3.0157899142190443
2021-03-08 23:00:00+01:00,08/03/2021,-1.5681517975135773,-3.082841564254156
2021-03-09 00:00:00+01:00,09/03/2021,-1.5228037992195926,-3.1513558689971157
2021-03-09 01:00:00+01:00,09/03/2021,-1.5348849303469827,-2.979831913183148
2021-03-09 02:00:00+01:00,09/03/2021,-0.6515227713013239,-3.379568653175626
2021-03-09 03:00:00+01:00,09/03/2021,-0.130452065782879,-4.311182587252392
2021-03-09 04:00:00+01:00,09/03/2021,2.8170582484294564,-3.8364432177538044
2021-03-09 05:00:00+01:00,09/03/2021,4.634209014534815,-3.394856456491081
2021-03-09 06:00:00+01:00,09/03/2021,4.63365096603188,-3.108351355805985
2021-03-09 07:00:00+01:00,09/03/2021,4.1565478924643555,-3.850051269594696
2021-03-09 08:00:00+01:00,09/03/2021,3.4978271344143925,-3.0919948743210424
2021-03-09 09:00:00+01:00,09/03/2021,3.5262165613709096,-3.862706481797982
2021-03-09 10:00:00+01:00,09/03/2021,2.7983744203895533,-3.3949093460530895
2021-03-09 11:00:00+01:00,09/03/2021,3.0677338484193317,-3.144781994827018
2021-03-09 12:00:00+01:00,09/03/2021,3.0135595349649456,-2.8424216253438774
